Mod:Item:MetaData, Localized Name
GalacticraftCore:tile.gcBlockCore:8, Кремниевая руда
GalacticraftCore:tile.gcBlockCore:9, Медный блок
GalacticraftCore:tile.gcBlockCore:10, Оловянный блок
GalacticraftCore:tile.gcBlockCore:11, Алюминиевый блок
GalacticraftCore:tile.gcBlockCore:12, Блок метеоритного железа
GalacticraftCore:tile.airLockFrame:0, Каркас воздушного шлюза
GalacticraftCore:tile.airLockFrame:1, Контроллер воздушного шлюза
GalacticraftCore:tile.airLockSeal, Уплотнитель воздушного шлюза
GalacticraftCore:tile.enclosed:14, Герметичный алюминиевый провод
GalacticraftCore:tile.enclosed:15, Герметичный толстый алюминиевый провод
GalacticraftCore:tile.enclosed:1, Герметичная кислородная труба
GalacticraftCore:tile.spaceStationBase, Основание космической станции
GalacticraftCore:tile.dummyblock:0, tile.dummyblock.null.name
GalacticraftCore:tile.parachest, Сундук с парашютом
GalacticraftCore:tile.solar:0, Основная солнечная панель
GalacticraftCore:tile.solar:4, Продвинутая солнечная панель
GalacticraftCore:tile.dish, Коммуникационная тарелка
GalacticraftCore:tile.machine:0, Угольный генератор
GalacticraftCore:tile.machine:12, Компрессор
GalacticraftCore:tile.machine2:0, Электрический компрессор
GalacticraftCore:tile.machine2:4, Производитель микросхем
GalacticraftCore:tile.machine2:8, Модуль «Хранилище кислорода»
GalacticraftCore:tile.machineTiered:0, Модуль «Хранилище энергии»
GalacticraftCore:tile.machineTiered:4, Электропечь
GalacticraftCore:tile.machineTiered:8, Энергетический массив
GalacticraftCore:tile.machineTiered:12, Электрическая дуговая печь
GalacticraftCore:tile.aluminumWire:0, Алюминиевый провод
GalacticraftCore:tile.aluminumWire:1, Толстый алюминиевый провод
GalacticraftCore:tile.glowstoneTorch, Факел из светящегося камня
GalacticraftCore:tile.fallenMeteor, Упавший метеорит
GalacticraftCore:tile.moonBlock:0, Медная руда
GalacticraftCore:tile.moonBlock:1, Оловянная руда
GalacticraftCore:tile.moonBlock:2, Сырная руда
GalacticraftCore:tile.moonBlock:3, Лунный грунт
GalacticraftCore:tile.moonBlock:4, Лунный камень
GalacticraftCore:tile.moonBlock:5, Лунный дёрн
GalacticraftCore:tile.moonBlock:14, Кирпич лунной сокровищницы
GalacticraftCore:tile.cheeseBlock, Блок сыра
GalacticraftCore:tile.spinThruster, Вращающий двигатель
GalacticraftCore:tile.viewScreen, Экран отображения
GalacticraftCore:tile.telemetry, Телеметрический блок
GalacticraftCore:tile.arclamp, Дуговая лампа
GalacticraftCore:tile.treasureChest, Сундук с сокровищами
GalacticraftCore:tile.tinStairs1, Оловянные ступеньки
GalacticraftCore:tile.tinStairs2, Оловянные ступеньки
GalacticraftCore:tile.moonStoneStairs, Ступеньки из лунного камня
GalacticraftCore:tile.moonBricksStairs, Ступеньки из кирпича лунной сокровищницы
GalacticraftCore:tile.wallGC:0, Оловянная стена
GalacticraftCore:tile.wallGC:1, Оловянная стена
GalacticraftCore:tile.wallGC:2, Стена из лунного камня
GalacticraftCore:tile.wallGC:3, Стена из кирпича лунной сокровищницы
GalacticraftCore:tile.wallGC:4, Стена из марсианского булыжника
GalacticraftCore:tile.wallGC:5, Стена из кирпича марсианской сокровищницы
GalacticraftCore:slabGCHalf:0, Оловянная плита
GalacticraftCore:slabGCHalf:1, Оловянная плита
GalacticraftCore:slabGCHalf:2, Плита из лунного камня
GalacticraftCore:slabGCHalf:3, Плита из кирпича лунной сокровищницы
GalacticraftCore:slabGCHalf:4, Плита из марсианского булыжника
GalacticraftCore:slabGCHalf:5, Плита из кирпича марсианской сокровищницы
GalacticraftCore:slabGCDouble:0, tile.slabGCDouble.tinSlab.name
GalacticraftCore:slabGCDouble:1, tile.slabGCDouble.tinSlab.name
GalacticraftCore:slabGCDouble:2, tile.slabGCDouble.moonSlab.name
GalacticraftCore:slabGCDouble:3, tile.slabGCDouble.moonBricksSlab.name
GalacticraftCore:slabGCDouble:4, tile.slabGCDouble.marsSlab.name
GalacticraftCore:slabGCDouble:5, tile.slabGCDouble.marsBricksSlab.name
GalacticraftMars:tile.treasureT2, Сундук с сокровищами 2-го уровня
GalacticraftMars:tile.treasureT3, Сундук с сокровищами 3-го уровня
GalacticraftMars:tile.asteroidsBlock:0, Астероидный камень
GalacticraftMars:tile.asteroidsBlock:1, Астероидный камень
GalacticraftMars:tile.asteroidsBlock:2, Астероидный камень
GalacticraftMars:tile.asteroidsBlock:3, Алюминиевая руда
GalacticraftMars:tile.asteroidsBlock:4, Ильменитовая руда
GalacticraftMars:tile.asteroidsBlock:5, Железная руда
GalacticraftMars:tile.walkway, Дорожка
GalacticraftMars:tile.walkwayWire, Дорожка
GalacticraftMars:tile.walkwayOxygenPipe, Дорожка
GalacticraftMars:tile.beamReflector, Лучевой отражатель энергии
GalacticraftMars:tile.beamReceiver, Лучевой приёмник энергии
GalacticraftMars:tile.telepadShort, Короткодистанционный телепорт
GalacticraftMars:tile.telepadFake, tile.telepadFake.name
GalacticraftMars:tile.denseIce, Плотный лёд
GalacticraftMars:tile.minerBase, Основание астрономического шахтёра
GalacticraftMars:tile.minerBaseFull, tile.minerBaseFull.name
GalacticraftMars:tile.sludge, Бактериальный осадок
GalacticraftMars:tile.mars:0, Медная руда
GalacticraftMars:tile.mars:1, Оловянная руда
GalacticraftMars:tile.mars:2, Руда деш
GalacticraftMars:tile.mars:3, Железная руда
GalacticraftMars:tile.mars:4, Марсианский булыжник
GalacticraftMars:tile.mars:5, Марсианский поверхностный камень
GalacticraftMars:tile.mars:6, Марсианский подповерхностный камень
GalacticraftMars:tile.mars:7, Кирпич марсианской сокровищницы
GalacticraftMars:tile.mars:8, Блок деш
GalacticraftMars:tile.mars:9, Марсианский камень
GalacticraftMars:tile.cavernVines, Пещерные лианы
GalacticraftMars:tile.slimelingEgg:0, Красное яйцо слаймлинга
GalacticraftMars:tile.slimelingEgg:1, Синее яйцо слаймлинга
GalacticraftMars:tile.slimelingEgg:2, Жёлтое яйцо слаймлинга
GalacticraftMars:tile.creeperEgg, Яйцо крипера
GalacticraftMars:tile.marsMachine:0, Терраформер
GalacticraftMars:tile.marsMachine:4, Криогенная камера
GalacticraftMars:tile.marsMachine:8, Контроллер запуска
GalacticraftMars:tile.marsMachineT2:0, Сжижитель газа
GalacticraftMars:tile.marsMachineT2:4, Синтезатор метана
GalacticraftMars:tile.marsMachineT2:8, Электролизёр воды
GalacticraftMars:tile.marsCobblestoneStairs, Ступеньки из марсианского булыжника
GalacticraftMars:tile.marsDungeonBricksStairs, Ступеньки из кирпича марсианской сокровищницы
GalacticraftMars:tile.hydrogenPipe, Труба для водорода
GalacticraftAmunRa:tile.basaltMultiOre:0, Золотая руда
GalacticraftAmunRa:tile.basaltMultiOre:1, Алюминиевая руда
GalacticraftAmunRa:tile.basaltMultiOre:2, Медная руда
GalacticraftAmunRa:tile.basaltMultiOre:3, Оловянная руда
GalacticraftAmunRa:tile.basaltMultiOre:4, Хионитовая руда
GalacticraftAmunRa:tile.basaltMultiOre:5, Сподуменовая руда
GalacticraftAmunRa:tile.basaltMultiOre:6, Железная руда
GalacticraftAmunRa:tile.basaltMultiOre:7, Лазуритовая руда
GalacticraftAmunRa:tile.basaltMultiOre:8, Кремниевая руда
GalacticraftAmunRa:tile.basaltMultiOre:9, Ильменитовая руда
GalacticraftAmunRa:tile.basaltMultiOre:10, Урановая руда
GalacticraftAmunRa:tile.obsidianMultiOre:0, Алмазная руда
GalacticraftAmunRa:tile.obsidianMultiOre:1, Рубиновая руда
GalacticraftAmunRa:tile.obsidianMultiOre:2, Урановая руда
GalacticraftAmunRa:tile.obsidianMultiOre:3, Свинцовая руда
GalacticraftAmunRa:tile.obsidianMultiOre:9, Изумрудная руда
GalacticraftAmunRa:tile.hardClayMultiOre:0, Уголь
GalacticraftAmunRa:tile.hardClayMultiOre:1, Кремниевая руда
GalacticraftAmunRa:tile.hardClayMultiOre:2, Алюминиевая руда
GalacticraftAmunRa:tile.hardClayMultiOre:3, Медная руда
GalacticraftAmunRa:tile.hardClayMultiOre:4, Оловянная руда
GalacticraftAmunRa:tile.hardClayMultiOre:5, Железная руда
GalacticraftAmunRa:tile.oldConcreteOre:0, Урболит содержащий сталь
GalacticraftAmunRa:tile.oldConcreteOre:1, Урболит содержащий окаменелости
GalacticraftAmunRa:tile.asteroidMultiOre1:0, Рубиновая руда
GalacticraftAmunRa:tile.asteroidMultiOre1:1, Изумрудная руда
GalacticraftAmunRa:tile.asteroidMultiOre1:2, Алмазная руда
GalacticraftAmunRa:tile.asteroidMultiOre1:3, Сподуменовая руда
GalacticraftAmunRa:tile.asteroidMultiOre1:4, Золотая руда
GalacticraftAmunRa:tile.asteroidMultiOre1:5, Лазуритовая руда
GalacticraftAmunRa:tile.asteroidMultiOre1:6, Свинцовая руда
GalacticraftAmunRa:tile.asteroidMultiOre1:7, Урановая руда
GalacticraftAmunRa:tile.asteroidMultiOre1:8, Медная руда
GalacticraftAmunRa:tile.bossSpawner:0, tile.bossSpawner.name
GalacticraftAmunRa:tile.baseBlockRock:0, Базальтовый булыжник
GalacticraftAmunRa:tile.baseBlockRock:1, Базальт
GalacticraftAmunRa:tile.baseBlockRock:2, Красный булыжник
GalacticraftAmunRa:tile.baseBlockRock:3, Красный песчаник
GalacticraftAmunRa:tile.baseBlockRock:4, Оливиновый базальтовый булыжник
GalacticraftAmunRa:tile.baseBlockRock:5, Оливиновый базальт
GalacticraftAmunRa:tile.baseBlockRock:6, Алюминиевый ящик
GalacticraftAmunRa:tile.baseBlockRock:7, Базальтовая стена из кирпича
GalacticraftAmunRa:tile.baseBlockRock:8, Гладкий базальт
GalacticraftAmunRa:tile.baseBlockRock:9, Стена из обсидианового кирпича
GalacticraftAmunRa:tile.baseBlockRock:10, Урболит
GalacticraftAmunRa:tile.baseBlockRock:11, Блок урана
GalacticraftAmunRa:tile.baseBlockRock:12, Основной блок космического корабля
GalacticraftAmunRa:tile.baseBlockRock:13, Верстак
GalacticraftAmunRa:tile.baseBlockRock:14, Тёмная материя
GalacticraftAmunRa:tile.baseBlockCrystal:0, Светящийся коралл
GalacticraftAmunRa:tile.baseBlockGround:0, Земля
GalacticraftAmunRa:tile.baseBlockGround:1, Укоренившеяся пыль
GalacticraftAmunRa:tile.baseGrass:0, Красная трава
GalacticraftAmunRa:tile.baseGrass:1, Глубинные водоросли
GalacticraftAmunRa:tile.baseGrass:2, tile.vaccumRedGrass.name
GalacticraftAmunRa:tile.baseFalling:0, Обсидиановый песок
GalacticraftAmunRa:tile.baseFalling:1, Обсидиановый гравий
GalacticraftAmunRa:tile.baseFalling:2, Базальтовый реголит
GalacticraftAmunRa:tile.basePlant:0, Высокая красная трава
GalacticraftAmunRa:tile.log1:0, Вирилиговая древесина
GalacticraftAmunRa:tile.wood1:0, Лумиподовая кора
GalacticraftAmunRa:tile.wood1:1, Лумиподовая пульпа
GalacticraftAmunRa:tile.wood1:2, Вирилиговые доски
GalacticraftAmunRa:tile.wood1:3, Лумиподовые доски
GalacticraftAmunRa:tile.null:0, Вирилиговая листва
GalacticraftAmunRa:tile.saplings:0, Вирилиговый саженец
GalacticraftAmunRa:tile.saplings:1, Лумиподовый саженец
GalacticraftAmunRa:tile.machines1:0, Радиоизотопный генератор
GalacticraftAmunRa:tile.machines1:1, Продвинутый радиоизотопный генератор
GalacticraftAmunRa:tile.machines1:2, Навигационная панель космического корабля
GalacticraftAmunRa:tile.machines1:3, Панель конфигурации космического корабля
GalacticraftAmunRa:tile.machines2:0, Сопло ракетного двигателя
GalacticraftAmunRa:tile.machines2:1, Сопло ионного двигателя
GalacticraftAmunRa:tile.machines3:0, Блоковые весы
GalacticraftAmunRa:tile.machines3:1, Генератор искусственной гравитации
GalacticraftAmunRa:tile.machines4:0, Шаттл-док
GalacticraftAmunRa:tile.machines4:1, Гидропонная система
GalacticraftAmunRa:tile.blockFake:0, tile.fakeBlockSealable.name
GalacticraftAmunRa:tile.aluChest, Алюминиевый сундук
GalacticraftAmunRa:tile.steelChest, Стальной сундук
GalacticraftAmunRa:tile.msBoosters1:0, Основа ракетного двигателя
GalacticraftAmunRa:tile.msBoosters1:1, Основа ионного двигателя
GalacticraftAmunRa:tile.obsidianbrick.stairs, Ступеньки из обсидианового кирпича
GalacticraftAmunRa:tile.smoothbasalt.stairs, Ступеньки из гладкого базальта
GalacticraftAmunRa:tile.basaltbrick.stairs, Базальтовые ступеньки из кирпича
GalacticraftAmunRa:tile.basalt.stairs, Базальтовые ступеньки
GalacticraftAmunRa:tile.alucrate.stairs, Алюминиевые ступеньки
GalacticraftAmunRa:tile.methanePlanks.stairs, Вирилиговые ступеньки
GalacticraftAmunRa:tile.podPlanks.stairs, Лумиподовые ступеньки
GalacticraftAmunRa:tile.rockDoubleslab:0, Базальтовая плита
GalacticraftAmunRa:tile.rockDoubleslab:1, Базальтовая плита из кирпича
GalacticraftAmunRa:tile.rockDoubleslab:2, Плита из гладкого базальта
GalacticraftAmunRa:tile.rockDoubleslab:3, Плита из обсидианового кирпича
GalacticraftAmunRa:tile.rockDoubleslab:4, Алюминиевая плита
GalacticraftAmunRa:tile.rockSlab:0, Базальтовая плита
GalacticraftAmunRa:tile.rockSlab:1, Базальтовая плита из кирпича
GalacticraftAmunRa:tile.rockSlab:2, Плита из гладкого базальта
GalacticraftAmunRa:tile.rockSlab:3, Плита из обсидианового кирпича
GalacticraftAmunRa:tile.rockSlab:4, Алюминиевая плита
GalacticraftAmunRa:tile.woodDoubleslab:0, Лумиподовая плита
GalacticraftAmunRa:tile.woodDoubleslab:1, Вирилиговая плита
GalacticraftAmunRa:tile.woodSlab:0, Лумиподовая плита
GalacticraftAmunRa:tile.woodSlab:1, Вирилиговая плита
Aroma1997sDimension:aromicPortal, Mining Portal
Aroma1997sDimension:portalFrame, tile.null.name
Aroma1997sDimension:stickyOre, Sticky Ore
Automagy:blockRedcrystal, Красный Кристалл
Automagy:blockRedcrystalAmp, Усиленный Красный Кристалл
Automagy:blockRedcrystalDim, Тусклый Красный Кристалл
Automagy:blockRedcrystalDense, Плотный Красный Кристалл
Automagy:blockRedcrystalRes, Резонирующий Красный Кристалл
Automagy:blockRedcrystalMerc, Ртутный Красный Кристалл
Automagy:blockTorchInversion, Инверсионный красный факел
Automagy:blockTorchInversion_off, Инверсионный красный факел
Automagy:blockRemoteComparator, Компаратор удаленного действия
Automagy:blockVisReader, Считыватель Вис
Automagy:blockTally, Шкатулка
Automagy:blockHourglass, Песочные Часы
Automagy:blockHourglassMagic, Волшебные песочные часы
Automagy:blockGreedyChest, Жадный Сундук
Automagy:blockEagerChest, Нетерпеливый Сундук
Automagy:blockTenaciousChest, Упрямый Сундук
Automagy:blockHungryMaw, Ненасытная Утроба
Automagy:blockFinicalMaw, Разборчивая Утроба
Automagy:blockGolemInhibitor, Усмиритель Големов
Automagy:blockEntitySignal, Signum Entia
Automagy:blockEssentiaLocus, Локатор Эссенции
Automagy:blockEssentiaLocusAggregator, Накопитель Эссенции
Automagy:blockInventarium, Ядро Инвентариума
Automagy:blockUnseenScribe, Невидимый Писарь
Automagy:blockScribePointer, Око Писаря
Automagy:blockGolemTaskmaster, Надсмотрщик за Големами
Automagy:blockReqTome, Журнал Заявок
Automagy:blockBookshelfEnchanted:0, Зачарованная Книжная полка
Automagy:blockBookshelfEnchanted:1, Заколдованная Книжная полка
Automagy:blockTranslucent:0, Пылающий Янтарь
Automagy:blockTranslucent:1, Янтарные пылающие кирпичи
Automagy:blockMetalGlow:0, Блок Памяти
Automagy:blockNethermind, Разум Преисподней
Automagy:blockRunedObsidian, Рунный Обсидиан
Automagy:blockNetherRune:0, Рунный Обсидиан (Скала)
Automagy:blockNetherRune:1, Рунный Обсидиан (Море)
Automagy:blockNetherRune:2, Рунный Обсидиан (Кристалл)
Automagy:blockNetherRune:3, Рунный Обсидиан (Свет)
Automagy:blockNetherRune:4, Рунный Обсидиан (Душа)
Automagy:blockNetherRune:6, Рунный Обсидиан (Стремительность)
Automagy:blockNetherRuneMob:0, Рунный Обсидиан (Зомби)
Automagy:blockNetherRuneMob:1, Рунный Обсидиан (Пламя)
Automagy:blockNetherRuneMob:2, Рунный Обсидиан (Гаст)
Automagy:blockNetherRuneMob:3, Рунный Обсидиан (Череп)
Automagy:blockNetherRuneMob:4, Рунный Обсидиан (Слизь)
Automagy:blockNetherRuneMob:5, Рунный Обсидиан (Летучая Мышь)
Automagy:blockNetherRuneMob:6, Рунный Обсидиан (Висп)
Automagy:blockMobLure, Соблазн Сирены
Automagy:blockDimensionLure, Соблазн Преисподней
Automagy:blockGolemWorkbench, Верстак Голема
Automagy:blockThirstyTank, Резервуар Жажды
Automagy:blockBoiler, Алхимический Котёл
Automagy:blockCreativeJar:3, Банка Бесконечности
Automagy:blockAmnesiac, Камень Амнезии
Automagy:blockXPStone, Камень Душ
Automagy:blockXPJar, Банка Концентрата Великого Зачарователя
Automagy:blockThaumostaticPylon:0, Таумостатическая Колонна
Automagy:blockThaumostaticPylon:1, Таумостатический Центр Управления
Automagy:blockMirrorAlt:0, Зеркало Слияния
Automagy:blockMirrorMultiDest:0, Зеркало Рассеивания
Automagy:blockFluidMilk, Молоко
Automagy:blockFluidMushroom, Грибной Суп
Automagy:blockFluidVishroom, Висоморный Суп
Automagy:blockPhenomenon, Феноменон
Automagy:blockThaumostaticSpire, Таумостатический Шпиль
Automagy:blockTallyLensWorld, Шкатулка (Линза: Свобода)
Automagy:blockTallyLensDrops, Шкатулка (Линза: Ликвидность)
Avaritia:Double_Craft, Compressed Crafting Table
Avaritia:Triple_Craft, Double Compressed Crafting Table
Avaritia:Dire_Crafting, Ужасающий верстак
Avaritia:Crystal_Matrix, Crystal Matrix
Avaritia:Resource_Block:0, Neutronium Block
Avaritia:Resource_Block:1, Infinity Block
Avaritia:Neutron_Collector, Сборщик нейтрония
Avaritia:Neutronium_Compressor, Компрессор нейтрония
avaritiaddons:CompressedChest, Compressed Chest
avaritiaddons:InfinityChest, Infinity Chest
avaritiaddons:ExtremeAutoCrafter, Dire Autocrafting Table
Natura:soil.tainted, Испорченная почва
Natura:heatsand, Огненный песок
Natura:NetherFurnace, Печь Нижнего мира
Natura:Obelisk, Обелиск
Natura:NetherGlass:0, Стекло душ
Natura:NetherGlass:1, Огненное стекло
Natura:BrailPowered, Пламенные электрические рельсы
Natura:BrailDetector, Пламенные нажимные рельсы
Natura:Blazerail, Пламенные рельсы
Natura:BrailActivator, Пламенные активирующие рельсы
Natura:NetherHopper, Загрузочная воронка
Natura:NetherPressurePlate, Нажимная плита
Natura:NetherButton, Кнопка
Natura:NetherLever, Рычаг
Natura:Thornvines, Колючие лозы
Natura:Glowshroom:0, Зелёный светогриб
Natura:Glowshroom:1, Фиолетовый светогриб
Natura:Glowshroom:2, Синий светогриб
Natura:greenGlowshroom, Зелёный светогриб
Natura:purpleGlowshroom, Фиолетовый светогриб
Natura:blueGlowshroom, Синий светогриб
Natura:NetherBerryBush:12, Куст губительной ягоды
Natura:NetherBerryBush:13, Куст сумеречной ягоды
Natura:NetherBerryBush:14, Куст небесной ягоды
Natura:NetherBerryBush:15, Куст ядовитой ягоды
Natura:BerryBush:12, Куст малины
Natura:BerryBush:13, Куст черники
Natura:BerryBush:14, Куст ежевики
Natura:BerryBush:15, Куст смородины
Natura:N Crops, Ростки
Natura:Saguaro:0, Кактус сагуаро
Natura:Bluebells, Синие колокольчики
Natura:GrassBlock:0, Подстриженная трава
Natura:GrassBlock:1, Синяя трава
Natura:GrassBlock:2, Осенняя трава
Natura:GrassSlab:0, Плита из подстриженной травы
Natura:GrassSlab:1, Плита из синей травы
Natura:GrassSlab:2, Плита из осенней травы
Natura:Cloud:0, Облако
Natura:Cloud:1, Тёмное облако
Natura:Cloud:2, Пепельное облако
Natura:Cloud:3, Облако серы
Natura:Rare Sapling:0, Саженец клёна
Natura:Rare Sapling:1, Саженец галезии
Natura:Rare Sapling:2, Саженец щирицы
Natura:Rare Sapling:3, Саженец тигрового дерева
Natura:Rare Sapling:4, Саженец ивы
Natura:florasapling:0, Саженец красного дерева
Natura:florasapling:1, Саженец эвкалипта
Natura:florasapling:2, Саженец хмельного дерева
Natura:florasapling:3, Саженец сакуры
Natura:florasapling:4, Саженец призрачного дерева
Natura:florasapling:5, Саженец кровавого дерева
Natura:florasapling:6, Саженец тёмного дерева
Natura:florasapling:7, Саженец плавкого дерева
Natura:tree:0, Древесина эвкалипта
Natura:tree:1, Древесина сакуры
Natura:tree:2, Древесина призрачного дерева
Natura:tree:3, Древесина хмельного дерева
Natura:redwood:0, Кора красного дерева
Natura:redwood:1, Красное дерево
Natura:redwood:2, Корень красного дерева
Natura:willow:0, Древесина ивы
Natura:bloodwood:0, Кровавое дерево
Natura:bloodwood:15, Кровавое дерево
Natura:Rare Tree:0, Древесина клёна
Natura:Rare Tree:1, Древесина галезии
Natura:Rare Tree:2, Древесина щирицы
Natura:Rare Tree:3, Древесина тигрового дерева
Natura:Dark Tree:0, Древесина тёмного дерева
Natura:Dark Tree:1, Древесина плавкого дерева
Natura:floraleaves:0, Листва красного дерева
Natura:floraleaves:1, Листва эвкалипта
Natura:floraleaves:2, Листва хмельного дерева
Natura:floraleavesnocolor:0, Листва сакуры
Natura:floraleavesnocolor:1, Листва призрачного дерева
Natura:floraleavesnocolor:2, Листва кровавого дерева
Natura:floraleavesnocolor:3, Листва ивы
Natura:Rare Leaves:0, Листва клёна
Natura:Rare Leaves:1, Листва галезии
Natura:Rare Leaves:2, Листва щирицы
Natura:Rare Leaves:3, Листва тигрового дерева
Natura:Dark Leaves:0, Листва тёмного дерева
Natura:Dark Leaves:1, Листва тёмного дерева
Natura:Dark Leaves:2, Листва тёмного дерева
Natura:Dark Leaves:3, Листва плавкого дерева
Natura:planks:0, Доски из древесины эвкалипта
Natura:planks:1, Доски из древесины сакуры
Natura:planks:2, Доски из древесины призрачного дерева
Natura:planks:3, Доски из древесины красного дерева
Natura:planks:4, Доски из древесины кровавого дерева
Natura:planks:5, Доски из древесины хмельного дерева
Natura:planks:6, Доски из древесины клёна
Natura:planks:7, Доски из древесины галезии
Natura:planks:8, Доски из древесины щирицы
Natura:planks:9, Доски из древесины тигрового дерева
Natura:planks:10, Доски из древесины ивы
Natura:planks:11, Доски из древесины тёмного дерева
Natura:planks:12, Доски из древесины плавкого дерева
Natura:Natura.workbench:0, Верстак
Natura:Natura.workbench:1, Верстак
Natura:Natura.workbench:2, Верстак
Natura:Natura.workbench:3, Верстак
Natura:Natura.workbench:4, Верстак
Natura:Natura.workbench:5, Верстак
Natura:Natura.workbench:6, Верстак
Natura:Natura.workbench:7, Верстак
Natura:Natura.workbench:8, Верстак
Natura:Natura.workbench:9, Верстак
Natura:Natura.workbench:10, Верстак
Natura:Natura.workbench:11, Верстак
Natura:Natura.workbench:12, Верстак
Natura:Natura.bookshelf:0, Книжная полка
Natura:Natura.bookshelf:1, Книжная полка
Natura:Natura.bookshelf:2, Книжная полка
Natura:Natura.bookshelf:3, Книжная полка
Natura:Natura.bookshelf:4, Книжная полка
Natura:Natura.bookshelf:5, Книжная полка
Natura:Natura.bookshelf:6, Книжная полка
Natura:Natura.bookshelf:7, Книжная полка
Natura:Natura.bookshelf:8, Книжная полка
Natura:Natura.bookshelf:9, Книжная полка
Natura:Natura.bookshelf:10, Книжная полка
Natura:Natura.bookshelf:11, Книжная полка
Natura:Natura.bookshelf:12, Книжная полка
Natura:stair.eucalyptus, Ступеньки из древесины эвкалипта
Natura:stair.sakura, Ступеньки из древесины сакуры
Natura:stair.ghostwood, Ступеньки из древесины призрачного дерева
Natura:stair.redwood, Ступеньки из древесины красного дерева
Natura:stair.bloodwood, Ступеньки из древесины кровавого дерева
Natura:stair.hopseed, Ступеньки из древесины хмельного дерева
Natura:stair.maple, Ступеньки из древесины клёна
Natura:stair.silverbell, Ступеньки из древесины галезии
Natura:stair.amaranth, Ступеньки из древесины щирицы
Natura:stair.tiger, Ступеньки из древесины тигрового дерева
Natura:stair.willow, Ступеньки из древесины ивы
Natura:stair.darkwood, Ступеньки из древесины тёмного дерева
Natura:stair.fusewood, Ступеньки из древесины плавкого дерева
Natura:plankSlab1:0, Плита из древесины эвкалипта
Natura:plankSlab1:1, Плита из древесины сакуры
Natura:plankSlab1:2, Плита из древесины призрачного дерева
Natura:plankSlab1:3, Плита из древесины красного дерева
Natura:plankSlab1:4, Плита из древесины кровавого дерева
Natura:plankSlab1:5, Плита из древесины хмельного дерева
Natura:plankSlab1:6, Плита из древесины клёна
Natura:plankSlab1:7, Плита из древесины галезии
Natura:plankSlab2:0, Плита из древесины щирицы
Natura:plankSlab2:1, Плита из древесины тигрового дерева
Natura:plankSlab2:2, Плита из древесины ивы
Natura:plankSlab2:3, Плита из древесины тёмного дерева
Natura:plankSlab2:4, Плита из древесины плавкого дерева
Natura:trapdoor.eucalyptus, Люк из древесины эвкалипта
Natura:trapdoor.sakura, Люк из древесины сакуры
Natura:trapdoor.ghostwood, Люк из древесины призрачного дерева
Natura:trapdoor.redwood, Люк из древесины красного дерева
Natura:trapdoor.bloodwood, Люк из древесины кровавого дерева
Natura:trapdoor.hopseed, Люк из древесины хмельного дерева
Natura:trapdoor.maple, Люк из древесины клёна
Natura:trapdoor.amaranth, Люк из древесины щирицы
Natura:trapdoor.silverbell, Люк из древесины галезии
Natura:trapdoor.tiger, Люк из древесины тигрового дерева
Natura:trapdoor.willow, Люк из древесины ивы
Natura:trapdoor.darkwood, Люк из древесины тёмного дерева
Natura:trapdoor.fusewood, Люк из древесины плавкого дерева
Natura:Natura.fence:0, Eucalyptus Fence
Natura:Natura.fence:1, Sakura Fence
Natura:Natura.fence:2, Ghostwood Fence
Natura:Natura.fence:3, Redwood Fence
Natura:Natura.fence:4, Blood Fence
Natura:Natura.fence:5, Hopseed Fence
Natura:Natura.fence:6, Maple Fence
Natura:Natura.fence:7, Silverbell Fence
Natura:Natura.fence:8, Amaranth Fence
Natura:Natura.fence:9, Tigerwood Fence
Natura:Natura.fence:10, Willow Fence
Natura:Natura.fence:11, Darkwood Fence
Natura:Natura.fence:12, Fusewood Fence
Natura:fenceGate.eucalyptus, Калитка из древесины эвкалипта
Natura:fenceGate.sakura, Калитка из древесины сакуры
Natura:fenceGate.ghostwood, Калитка из древесины призрачного дерева
Natura:fenceGate.redwood, Калитка из древесины красного дерева
Natura:fenceGate.bloodwood, Калитка из древесины кровавого дерева
Natura:fenceGate.hopseed, Калитка из древесины хмельного дерева
Natura:fenceGate.maple, Калитка из древесины клёна
Natura:fenceGate.amaranth, Калитка из древесины щирицы
Natura:fenceGate.silverbell, Калитка из древесины галезии
Natura:fenceGate.tiger, Калитка из древесины тигрового дерева
Natura:fenceGate.willow, Калитка из древесины ивы
Natura:fenceGate.darkwood, Калитка из древесины тёмного дерева
Natura:fenceGate.fusewood, Калитка из древесины плавкого дерева
Natura:pressureplate.eucalyptus, Нажимная плита из древесины эвкалипта
Natura:pressureplate.sakura, Нажимная плита из древесины сакуры
Natura:pressureplate.ghostwood, Нажимная плита из древесины призрачного дерева
Natura:pressureplate.redwood, Нажимная плита из древесины красного дерева
Natura:pressureplate.bloodwood, Нажимная плита из древесины кровавого дерева
Natura:pressureplate.hopseed, Нажимная плита из древесины хмельного дерева
Natura:pressureplate.maple, Нажимная плита из древесины клёна
Natura:pressureplate.amaranth, Нажимная плита из древесины щирицы
Natura:pressureplate.silverbell, Нажимная плита из древесины галезии
Natura:pressureplate.tiger, Нажимная плита из древесины тигрового дерева
Natura:pressureplate.willow, Нажимная плита из древесины ивы
Natura:pressureplate.darkwood, Нажимная плита из древесины тёмного дерева
Natura:pressureplate.fusewood, Нажимная плита из древесины плавкого дерева
Natura:button.eucalyptus, Кнопка из древесины эвкалипта
